@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, -1
21.0, 34.0, 48.0, 5.0, 51.0, 28.0, 39.0, -1
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, -1
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, -1
3.0, 16.0, 48.0, 5.0, 56.0, 11.0, 23.0, -1
36.0, 39.0, 48.0, 5.0, 48.0, 22.0, 23.0, -1
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, -1
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, -1
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, -1
29.0, 3.0, 48.0, 5.0, 45.0, 3.0, 17.0, -1
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, -1
52.0, 57.0, 48.0, 5.0, 42.0, 47.0, 54.0, -1
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, -1
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, -1
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, -1
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, -1
36.0, 56.0, 48.0, 5.0, 43.0, 45.0, 53.0, -1
4.0, 46.0, 48.0, 5.0, 52.0, 49.0, 56.0, -1
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, -1
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, -1
35.0, 37.0, 48.0, 5.0, 3.0, 34.0, 43.0, -1
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, -1
33.0, 47.0, 48.0, 5.0, 53.0, 18.0, 29.0, -1
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, -1
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, -1
24.0, 41.0, 48.0, 5.0, 49.0, 23.0, 34.0, -1
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, -1
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, -1
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, -1
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
27.0, 42.0, 48.0, 5.0, 37.0, 38.0, 43.0, -1
75.0, 55.0, 1.0, 1.0, 4.0, 47.0, 3.0, -1
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, -1
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, -1
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, -1
63.0, 42.0, 48.0, 5.0, 48.0, 77.0, 8.0, -1
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, -1
74.0, 9.0, 48.0, 5.0, 57.0, 53.0, 29.0, 1
77.0, 57.0, 48.0, 5.0, 88.0, 53.0, 2.0, 1
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, 1
64.0, 57.0, 48.0, 5.0, 7.0, 33.0, 26.0, 1
