@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a5, a6, a7
@outputs Class
@data
7.0, 4.0, 48.0, 54.0, 35.0, 44.0, -1
59.0, 49.0, 48.0, 52.0, 45.0, 36.0, -1
67.0, 39.0, 48.0, 36.0, 38.0, 46.0, -1
25.0, 4.0, 48.0, 46.0, 44.0, 52.0, -1
31.0, 23.0, 48.0, 73.0, 5.0, 14.0, -1
24.0, 35.0, 48.0, 31.0, 19.0, 31.0, -1
3.0, 37.0, 48.0, 59.0, 41.0, 49.0, -1
28.0, 38.0, 48.0, 5.0, 33.0, 42.0, -1
23.0, 33.0, 48.0, 43.0, 33.0, 43.0, -1
47.0, 47.0, 48.0, 22.0, 16.0, 26.0, -1
51.0, 37.0, 48.0, 35.0, 36.0, 45.0, -1
24.0, 43.0, 48.0, 54.0, 52.0, 59.0, -1
42.0, 3.0, 48.0, 48.0, 26.0, 36.0, -1
41.0, 48.0, 48.0, 51.0, 44.0, 51.0, -1
36.0, 56.0, 48.0, 43.0, 45.0, 53.0, -1
5.0, 49.0, 48.0, 49.0, 46.0, 53.0, -1
5.0, 51.0, 48.0, 27.0, 23.0, 34.0, -1
4.0, 42.0, 48.0, 37.0, 27.0, 27.0, -1
35.0, 37.0, 48.0, 3.0, 34.0, 43.0, -1
57.0, 54.0, 48.0, 37.0, 28.0, 33.0, -1
24.0, 57.0, 48.0, 63.0, 34.0, 43.0, -1
44.0, 49.0, 48.0, 39.0, 38.0, 4.0, -1
49.0, 43.0, 48.0, 49.0, 3.0, 4.0, -1
47.0, 28.0, 48.0, 56.0, 2.0, 25.0, -1
34.0, 35.0, 48.0, 51.0, 49.0, 56.0, -1
38.0, 3.0, 48.0, 43.0, 29.0, 39.0, -1
17.0, 39.0, 48.0, 53.0, 3.0, 39.0, -1
34.0, 51.0, 48.0, 44.0, 37.0, 46.0, -1
3.0, 44.0, 48.0, 49.0, 22.0, 33.0, -1
16.0, 43.0, 48.0, 54.0, 27.0, 37.0, -1
66.0, 49.0, 1.0, 54.0, 56.0, 36.0, -1
67.0, 81.0, 48.0, 54.0, 49.0, 23.0, -1
57.0, 59.0, 48.0, 39.0, 47.0, 33.0, -1
63.0, 86.0, 48.0, 39.0, 47.0, 34.0, -1
63.0, 71.0, 48.0, 6.0, 4.0, 39.0, -1
64.0, 84.0, 48.0, 37.0, 45.0, 4.0, -1
69.0, 67.0, 48.0, 3.0, 39.0, 24.0, -1
66.0, 71.0, 48.0, 41.0, 5.0, 35.0, -1
69.0, 59.0, 48.0, 46.0, 44.0, 52.0, -1
59.0, 61.0, 48.0, 42.0, 42.0, 37.0, -1
78.0, 68.0, 48.0, 83.0, 4.0, 29.0, 1
67.0, 84.0, 48.0, 74.0, 54.0, 37.0, 1
73.0, 84.0, 48.0, 86.0, 58.0, 29.0, 1
71.0, 71.0, 48.0, 68.0, 43.0, 36.0, 1
