@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a5, a6, a7
@outputs Class
@data
49.0, 29.0, 48.0, 56.0, 24.0, 35.0, -1
23.0, 32.0, 48.0, 55.0, 25.0, 35.0, -1
42.0, 24.0, 48.0, 57.0, 27.0, 37.0, -1
39.0, 32.0, 48.0, 46.0, 24.0, 35.0, -1
51.0, 5.0, 48.0, 46.0, 32.0, 35.0, -1
53.0, 38.0, 48.0, 44.0, 26.0, 36.0, -1
33.0, 45.0, 48.0, 52.0, 32.0, 41.0, -1
61.0, 45.0, 48.0, 48.0, 35.0, 41.0, -1
29.0, 3.0, 48.0, 45.0, 3.0, 17.0, -1
52.0, 36.0, 48.0, 41.0, 28.0, 38.0, -1
25.0, 37.0, 48.0, 41.0, 33.0, 42.0, -1
52.0, 57.0, 48.0, 42.0, 47.0, 54.0, -1
26.0, 26.0, 48.0, 34.0, 25.0, 35.0, -1
24.0, 43.0, 48.0, 37.0, 28.0, 38.0, -1
48.0, 42.0, 48.0, 45.0, 25.0, 35.0, -1
3.0, 45.0, 48.0, 36.0, 21.0, 32.0, -1
65.0, 55.0, 48.0, 34.0, 37.0, 28.0, -1
38.0, 26.0, 48.0, 54.0, 16.0, 28.0, -1
43.0, 32.0, 48.0, 33.0, 45.0, 52.0, -1
35.0, 34.0, 48.0, 46.0, 3.0, 27.0, -1
41.0, 51.0, 48.0, 58.0, 2.0, 31.0, -1
24.0, 41.0, 48.0, 49.0, 23.0, 34.0, -1
37.0, 44.0, 48.0, 42.0, 39.0, 47.0, -1
27.0, 3.0, 48.0, 71.0, 28.0, 39.0, -1
4.0, 41.0, 48.0, 55.0, 22.0, 33.0, -1
22.0, 34.0, 48.0, 42.0, 29.0, 39.0, -1
44.0, 35.0, 48.0, 44.0, 52.0, 59.0, -1
66.0, 86.0, 48.0, 34.0, 41.0, 36.0, -1
73.0, 78.0, 48.0, 58.0, 51.0, 31.0, -1
72.0, 86.0, 48.0, 17.0, 55.0, 21.0, -1
67.0, 61.0, 48.0, 51.0, 37.0, 38.0, -1
63.0, 1.0, 48.0, 35.0, 51.0, 49.0, -1
63.0, 83.0, 48.0, 4.0, 39.0, 19.0, -1
71.0, 86.0, 48.0, 4.0, 54.0, 32.0, -1
69.0, 8.0, 48.0, 46.0, 57.0, 26.0, -1
64.0, 78.0, 48.0, 5.0, 36.0, 38.0, -1
62.0, 83.0, 48.0, 46.0, 36.0, 4.0, -1
56.0, 54.0, 48.0, 43.0, 37.0, 3.0, -1
61.0, 6.0, 48.0, 44.0, 39.0, 38.0, -1
74.0, 74.0, 48.0, 31.0, 53.0, 52.0, -1
61.0, 75.0, 48.0, 51.0, 33.0, 33.0, 1
77.0, 57.0, 48.0, 88.0, 53.0, 2.0, 1
74.0, 78.0, 48.0, 75.0, 54.0, 15.0, 1
68.0, 63.0, 48.0, 73.0, 4.0, 3.0, 1
