@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
56.0, 4.0, 48.0, 5.0, 49.0, 37.0, 46.0, -1
42.0, 4.0, 48.0, 5.0, 56.0, 18.0, 3.0, -1
44.0, 27.0, 48.0, 5.0, 55.0, 52.0, 58.0, -1
31.0, 23.0, 48.0, 5.0, 73.0, 5.0, 14.0, -1
34.0, 33.0, 48.0, 5.0, 38.0, 35.0, 44.0, -1
4.0, 29.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
3.0, 37.0, 48.0, 5.0, 59.0, 41.0, 49.0, -1
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, -1
28.0, 38.0, 48.0, 5.0, 5.0, 33.0, 42.0, -1
17.0, 38.0, 48.0, 5.0, 45.0, 42.0, 5.0, -1
47.0, 47.0, 48.0, 5.0, 22.0, 16.0, 26.0, -1
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, -1
44.0, 51.0, 48.0, 5.0, 47.0, 26.0, 36.0, -1
44.0, 42.0, 48.0, 5.0, 42.0, 25.0, 2.0, -1
42.0, 3.0, 48.0, 5.0, 48.0, 26.0, 36.0, -1
52.0, 44.0, 48.0, 5.0, 37.0, 36.0, 42.0, -1
5.0, 51.0, 48.0, 5.0, 27.0, 23.0, 34.0, -1
31.0, 47.0, 48.0, 5.0, 29.0, 28.0, 39.0, -1
57.0, 54.0, 48.0, 5.0, 37.0, 28.0, 33.0, -1
65.0, 55.0, 48.0, 5.0, 34.0, 37.0, 28.0, -1
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, -1
44.0, 49.0, 48.0, 5.0, 39.0, 38.0, 4.0, -1
43.0, 32.0, 48.0, 5.0, 33.0, 45.0, 52.0, -1
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, -1
25.0, 51.0, 48.0, 5.0, 37.0, 42.0, 5.0, -1
61.0, 36.0, 48.0, 5.0, 49.0, 35.0, 44.0, -1
28.0, 33.0, 48.0, 5.0, 45.0, 22.0, 33.0, -1
4.0, 46.0, 48.0, 5.0, 42.0, 35.0, 44.0, -1
0.0, 38.0, 48.0, 5.0, 42.0, 48.0, 55.0, -1
39.0, 31.0, 48.0, 5.0, 38.0, 34.0, 43.0, -1
3.0, 44.0, 48.0, 5.0, 49.0, 22.0, 33.0, -1
26.0, 4.0, 48.0, 5.0, 36.0, 26.0, 37.0, -1
69.0, 43.0, 48.0, 5.0, 59.0, 74.0, 77.0, -1
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, -1
67.0, 37.0, 48.0, 5.0, 54.0, 64.0, 68.0, -1
84.0, 49.0, 48.0, 5.0, 55.0, 78.0, 74.0, -1
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, -1
81.0, 53.0, 48.0, 5.0, 57.0, 87.0, 88.0, -1
76.0, 41.0, 48.0, 5.0, 5.0, 59.0, 62.0, -1
7.0, 53.0, 48.0, 5.0, 7.0, 86.0, 87.0, -1
81.0, 52.0, 48.0, 5.0, 57.0, 78.0, 8.0, -1
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, -1
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, -1
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, -1
69.0, 67.0, 48.0, 5.0, 3.0, 39.0, 24.0, -1
64.0, 66.0, 48.0, 5.0, 41.0, 39.0, 2.0, -1
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, -1
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, 1
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, 1
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, 1
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, 1
67.0, 55.0, 1.0, 5.0, 66.0, 58.0, 16.0, 1
