a1, a2, a3, a5, a6, a7 , class
56.0, 4.0, 48.0, 49.0, 37.0, 46.0, -1
29.0, 28.0, 48.0, 44.0, 23.0, 34.0, -1
21.0, 34.0, 48.0, 51.0, 28.0, 39.0, -1
39.0, 32.0, 48.0, 46.0, 24.0, 35.0, -1
25.0, 4.0, 48.0, 46.0, 44.0, 52.0, -1
41.0, 57.0, 48.0, 39.0, 21.0, 32.0, -1
56.0, 51.0, 48.0, 34.0, 37.0, 46.0, -1
32.0, 42.0, 48.0, 35.0, 28.0, 38.0, -1
38.0, 46.0, 48.0, 48.0, 22.0, 29.0, -1
3.0, 37.0, 48.0, 59.0, 41.0, 49.0, -1
23.0, 58.0, 48.0, 37.0, 53.0, 59.0, -1
47.0, 47.0, 48.0, 22.0, 16.0, 26.0, -1
44.0, 34.0, 48.0, 3.0, 33.0, 43.0, -1
44.0, 56.0, 48.0, 5.0, 46.0, 54.0, -1
47.0, 29.0, 48.0, 51.0, 33.0, 43.0, -1
29.0, 47.0, 48.0, 41.0, 23.0, 34.0, -1
5.0, 51.0, 48.0, 27.0, 23.0, 34.0, -1
64.0, 76.0, 48.0, 45.0, 35.0, 38.0, -1
38.0, 4.0, 48.0, 63.0, 25.0, 35.0, -1
38.0, 26.0, 48.0, 54.0, 16.0, 28.0, -1
26.0, 5.0, 48.0, 44.0, 32.0, 41.0, -1
44.0, 49.0, 48.0, 39.0, 38.0, 4.0, -1
49.0, 43.0, 48.0, 49.0, 3.0, 4.0, -1
34.0, 42.0, 48.0, 41.0, 34.0, 43.0, -1
29.0, 28.0, 48.0, 5.0, 42.0, 5.0, -1
25.0, 26.0, 48.0, 39.0, 32.0, 42.0, -1
61.0, 36.0, 48.0, 49.0, 35.0, 44.0, -1
37.0, 44.0, 48.0, 42.0, 39.0, 47.0, -1
3.0, 44.0, 48.0, 49.0, 22.0, 33.0, -1
27.0, 3.0, 48.0, 71.0, 28.0, 39.0, -1
44.0, 52.0, 48.0, 43.0, 47.0, 54.0, -1
27.0, 35.0, 48.0, 51.0, 77.0, 79.0, -1
55.0, 47.0, 48.0, 57.0, 78.0, 8.0, -1
54.0, 49.0, 48.0, 4.0, 87.0, 88.0, -1
48.0, 41.0, 48.0, 51.0, 9.0, 88.0, -1
31.0, 5.0, 48.0, 57.0, 84.0, 85.0, -1
6.0, 61.0, 48.0, 54.0, 67.0, 71.0, -1
7.0, 4.0, 48.0, 56.0, 86.0, 83.0, -1
16.0, 51.0, 48.0, 33.0, 39.0, 48.0, -1
2.0, 46.0, 48.0, 57.0, 78.0, 81.0, -1
33.0, 37.0, 48.0, 46.0, 65.0, 69.0, -1
63.0, 65.0, 48.0, 66.0, 67.0, 71.0, -1
35.0, 51.0, 48.0, 61.0, 71.0, 74.0, -1
46.0, 59.0, 48.0, 36.0, 76.0, 23.0, -1
67.0, 88.0, 48.0, 73.0, 5.0, 25.0, 1
73.0, 84.0, 48.0, 86.0, 58.0, 29.0, 1
68.0, 76.0, 48.0, 84.0, 45.0, 27.0, 1
71.0, 71.0, 48.0, 68.0, 43.0, 36.0, 1
