@relation ecoli-0_vs_1
@attribute Mcg real [0.0, 0.89]
@attribute Gvh real [0.16, 1.0]
@attribute Lip real [0.48, 1.0]
@attribute Chg real [0.5, 1.0]
@attribute Aac real [0.0, 0.88]
@attribute Alm1 real [0.03, 1.0]
@attribute Alm2 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs Mcg, Gvh, Lip, Chg, Aac, Alm1, Alm2
@outputs Class
@data
0.21, 0.34, 0.48, 0.5, 0.51, 0.28, 0.39, 1
0.22, 0.43, 0.48, 0.5, 0.48, 0.16, 0.28, 1
0.4, 0.29, 0.48, 0.5, 0.42, 0.35, 0.44, 1
0.65, 0.47, 0.48, 0.5, 0.59, 0.3, 0.4, 1
0.28, 0.38, 0.48, 0.5, 0.5, 0.33, 0.42, 1
0.61, 0.45, 0.48, 0.5, 0.48, 0.35, 0.41, 1
0.42, 0.35, 0.48, 0.5, 0.58, 0.15, 0.27, 1
0.22, 0.36, 0.48, 0.5, 0.35, 0.39, 0.47, 1
0.47, 0.47, 0.48, 0.5, 0.22, 0.16, 0.26, 1
0.51, 0.37, 0.48, 0.5, 0.35, 0.36, 0.45, 1
0.42, 0.38, 0.48, 0.5, 0.54, 0.34, 0.43, 1
0.44, 0.56, 0.48, 0.5, 0.5, 0.46, 0.54, 1
0.25, 0.37, 0.48, 0.5, 0.43, 0.26, 0.36, 1
0.44, 0.42, 0.48, 0.5, 0.42, 0.25, 0.2, 1
0.24, 0.43, 0.48, 0.5, 0.37, 0.28, 0.38, 1
0.36, 0.56, 0.48, 0.5, 0.43, 0.45, 0.53, 1
0.5, 0.49, 0.48, 0.5, 0.49, 0.46, 0.53, 1
0.3, 0.45, 0.48, 0.5, 0.36, 0.21, 0.32, 1
0.35, 0.37, 0.48, 0.5, 0.3, 0.34, 0.43, 1
0.51, 0.46, 0.48, 0.5, 0.58, 0.31, 0.41, 1
0.38, 0.4, 0.48, 0.5, 0.63, 0.25, 0.35, 1
0.47, 0.28, 0.48, 0.5, 0.56, 0.2, 0.25, 1
0.38, 0.44, 0.48, 0.5, 0.43, 0.2, 0.31, 1
0.41, 0.51, 0.48, 0.5, 0.58, 0.2, 0.31, 1
0.25, 0.51, 0.48, 0.5, 0.37, 0.42, 0.5, 1
0.17, 0.39, 0.48, 0.5, 0.53, 0.3, 0.39, 1
0.37, 0.44, 0.48, 0.5, 0.42, 0.39, 0.47, 1
0.27, 0.3, 0.48, 0.5, 0.71, 0.28, 0.39, 1
0.16, 0.43, 0.48, 0.5, 0.54, 0.27, 0.37, 1
0.23, 0.48, 0.48, 0.5, 0.59, 0.88, 0.89, -1
0.34, 0.49, 0.48, 0.5, 0.58, 0.85, 0.8, -1
0.27, 0.35, 0.48, 0.5, 0.51, 0.77, 0.79, -1
0.12, 0.67, 0.48, 0.5, 0.74, 0.58, 0.63, -1
0.54, 0.49, 0.48, 0.5, 0.4, 0.87, 0.88, -1
0.48, 0.41, 0.48, 0.5, 0.51, 0.9, 0.88, -1
0.49, 0.42, 0.48, 0.5, 0.53, 0.79, 0.81, -1
0.12, 0.43, 0.48, 0.5, 0.63, 0.7, 0.74, -1
0.33, 0.37, 0.48, 0.5, 0.46, 0.65, 0.69, -1
0.41, 0.51, 0.48, 0.5, 0.53, 0.75, 0.78, -1
0.59, 0.56, 0.48, 0.5, 0.55, 0.8, 0.82, -1
0.51, 0.4, 0.48, 0.5, 0.57, 0.62, 0.67, -1
0.36, 0.47, 0.48, 0.5, 0.51, 0.69, 0.72, -1
0.31, 0.36, 0.48, 0.5, 0.58, 0.94, 0.94, -1
0.36, 0.45, 0.48, 0.5, 0.38, 0.79, 0.17, -1
