a1, a2, a3, a4, a5, a6, a7 , class
67.0, 39.0, 48.0, 5.0, 36.0, 38.0, 46.0, -1
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, -1
41.0, 57.0, 48.0, 5.0, 39.0, 21.0, 32.0, -1
25.0, 4.0, 48.0, 5.0, 47.0, 33.0, 42.0, -1
43.0, 39.0, 48.0, 5.0, 47.0, 31.0, 41.0, -1
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, -1
38.0, 46.0, 48.0, 5.0, 48.0, 22.0, 29.0, -1
61.0, 45.0, 48.0, 5.0, 48.0, 35.0, 41.0, -1
22.0, 36.0, 48.0, 5.0, 35.0, 39.0, 47.0, -1
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, -1
42.0, 38.0, 48.0, 5.0, 54.0, 34.0, 43.0, -1
44.0, 56.0, 48.0, 5.0, 5.0, 46.0, 54.0, -1
47.0, 29.0, 48.0, 5.0, 51.0, 33.0, 43.0, -1
29.0, 41.0, 48.0, 5.0, 48.0, 38.0, 46.0, -1
34.0, 55.0, 48.0, 5.0, 58.0, 31.0, 41.0, -1
41.0, 43.0, 48.0, 5.0, 5.0, 24.0, 25.0, -1
38.0, 26.0, 48.0, 5.0, 54.0, 16.0, 28.0, -1
24.0, 34.0, 48.0, 5.0, 38.0, 3.0, 4.0, -1
34.0, 35.0, 48.0, 5.0, 51.0, 49.0, 56.0, -1
38.0, 3.0, 48.0, 5.0, 43.0, 29.0, 39.0, -1
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, -1
37.0, 44.0, 48.0, 5.0, 42.0, 39.0, 47.0, -1
36.0, 42.0, 48.0, 5.0, 53.0, 32.0, 41.0, -1
22.0, 34.0, 48.0, 5.0, 42.0, 29.0, 39.0, -1
44.0, 35.0, 48.0, 5.0, 44.0, 52.0, 59.0, -1
66.0, 49.0, 1.0, 5.0, 54.0, 56.0, 36.0, -1
74.0, 49.0, 48.0, 5.0, 42.0, 54.0, 36.0, -1
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, -1
67.0, 7.0, 48.0, 5.0, 46.0, 45.0, 33.0, -1
57.0, 59.0, 48.0, 5.0, 39.0, 47.0, 33.0, -1
66.0, 74.0, 48.0, 5.0, 31.0, 38.0, 43.0, -1
63.0, 86.0, 48.0, 5.0, 39.0, 47.0, 34.0, -1
63.0, 71.0, 48.0, 5.0, 6.0, 4.0, 39.0, -1
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, -1
64.0, 78.0, 48.0, 5.0, 5.0, 36.0, 38.0, -1
76.0, 73.0, 48.0, 5.0, 44.0, 39.0, 39.0, -1
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, -1
56.0, 54.0, 48.0, 5.0, 43.0, 37.0, 3.0, -1
59.0, 61.0, 48.0, 5.0, 42.0, 42.0, 37.0, -1
74.0, 74.0, 48.0, 5.0, 31.0, 53.0, 52.0, -1
61.0, 75.0, 48.0, 5.0, 51.0, 33.0, 33.0, 1
67.0, 84.0, 48.0, 5.0, 74.0, 54.0, 37.0, 1
6.0, 76.0, 1.0, 5.0, 77.0, 59.0, 52.0, 1
69.0, 59.0, 48.0, 5.0, 77.0, 39.0, 21.0, 1
68.0, 63.0, 48.0, 5.0, 73.0, 4.0, 3.0, 1
