@relation ecoli
@attribute a1 real [0.0, 0.89]
@attribute a2 real [0.16, 1.0]
@attribute a3 real [0.48, 1.0]
@attribute a4 real [0.48, 1.0]
@attribute a5 real [0.0, 0.88]
@attribute a6 real [0.03, 1.0]
@attribute a7 real [0.0, 0.99]
@attribute Class {1, -1}   
@inputs a1, a2, a3, a4, a5, a6, a7
@outputs Class
@data
7.0, 4.0, 48.0, 5.0, 54.0, 35.0, 44.0, -1
29.0, 28.0, 48.0, 5.0, 44.0, 23.0, 34.0, -1
2.0, 44.0, 48.0, 5.0, 46.0, 51.0, 57.0, -1
25.0, 48.0, 48.0, 5.0, 44.0, 17.0, 29.0, -1
39.0, 32.0, 48.0, 5.0, 46.0, 24.0, 35.0, -1
51.0, 5.0, 48.0, 5.0, 46.0, 32.0, 35.0, -1
56.0, 51.0, 48.0, 5.0, 34.0, 37.0, 46.0, -1
65.0, 47.0, 48.0, 5.0, 59.0, 3.0, 4.0, -1
4.0, 5.0, 48.0, 5.0, 45.0, 39.0, 47.0, -1
23.0, 33.0, 48.0, 5.0, 43.0, 33.0, 43.0, -1
54.0, 47.0, 48.0, 5.0, 28.0, 33.0, 42.0, -1
4.0, 35.0, 48.0, 5.0, 45.0, 33.0, 42.0, -1
52.0, 36.0, 48.0, 5.0, 41.0, 28.0, 38.0, -1
25.0, 37.0, 48.0, 5.0, 43.0, 26.0, 36.0, -1
35.0, 48.0, 48.0, 5.0, 56.0, 4.0, 48.0, -1
26.0, 26.0, 48.0, 5.0, 34.0, 25.0, 35.0, -1
24.0, 43.0, 48.0, 5.0, 37.0, 28.0, 38.0, -1
41.0, 48.0, 48.0, 5.0, 51.0, 44.0, 51.0, -1
34.0, 28.0, 48.0, 5.0, 41.0, 35.0, 44.0, -1
41.0, 43.0, 48.0, 5.0, 45.0, 31.0, 41.0, -1
5.0, 49.0, 48.0, 5.0, 49.0, 46.0, 53.0, -1
4.0, 42.0, 48.0, 5.0, 37.0, 27.0, 27.0, -1
3.0, 45.0, 48.0, 5.0, 36.0, 21.0, 32.0, -1
47.0, 28.0, 48.0, 5.0, 56.0, 2.0, 25.0, -1
38.0, 44.0, 48.0, 5.0, 43.0, 2.0, 31.0, -1
25.0, 26.0, 48.0, 5.0, 39.0, 32.0, 42.0, -1
34.0, 51.0, 48.0, 5.0, 44.0, 37.0, 46.0, -1
23.0, 34.0, 48.0, 5.0, 43.0, 26.0, 37.0, -1
6.0, 61.0, 48.0, 5.0, 49.0, 92.0, 37.0, -1
44.0, 52.0, 48.0, 5.0, 43.0, 47.0, 54.0, -1
43.0, 4.0, 48.0, 5.0, 58.0, 75.0, 78.0, -1
52.0, 39.0, 48.0, 5.0, 65.0, 71.0, 73.0, -1
29.0, 47.0, 48.0, 5.0, 71.0, 65.0, 69.0, -1
55.0, 47.0, 48.0, 5.0, 57.0, 78.0, 8.0, -1
84.0, 44.0, 48.0, 5.0, 48.0, 71.0, 74.0, -1
49.0, 42.0, 48.0, 5.0, 53.0, 79.0, 81.0, -1
63.0, 54.0, 48.0, 5.0, 65.0, 79.0, 81.0, -1
2.0, 46.0, 48.0, 5.0, 57.0, 78.0, 81.0, -1
89.0, 55.0, 48.0, 5.0, 51.0, 72.0, 76.0, -1
5.0, 57.0, 48.0, 5.0, 71.0, 61.0, 66.0, -1
39.0, 41.0, 48.0, 5.0, 52.0, 72.0, 75.0, -1
83.0, 48.0, 48.0, 5.0, 65.0, 76.0, 79.0, -1
79.0, 36.0, 48.0, 5.0, 46.0, 82.0, 7.0, -1
66.0, 48.0, 48.0, 5.0, 54.0, 7.0, 74.0, -1
64.0, 46.0, 48.0, 5.0, 48.0, 73.0, 76.0, -1
81.0, 44.0, 48.0, 5.0, 42.0, 67.0, 68.0, -1
58.0, 6.0, 48.0, 5.0, 59.0, 73.0, 76.0, -1
47.0, 46.0, 48.0, 5.0, 62.0, 74.0, 77.0, -1
84.0, 54.0, 48.0, 5.0, 75.0, 92.0, 7.0, -1
86.0, 55.0, 48.0, 5.0, 63.0, 81.0, 83.0, -1
7.0, 61.0, 48.0, 5.0, 56.0, 52.0, 43.0, -1
73.0, 78.0, 48.0, 5.0, 58.0, 51.0, 31.0, -1
67.0, 61.0, 48.0, 5.0, 51.0, 37.0, 38.0, -1
63.0, 1.0, 48.0, 5.0, 35.0, 51.0, 49.0, -1
75.0, 84.0, 48.0, 5.0, 35.0, 52.0, 33.0, -1
69.0, 67.0, 48.0, 5.0, 3.0, 39.0, 24.0, -1
7.0, 71.0, 48.0, 5.0, 42.0, 84.0, 85.0, -1
69.0, 8.0, 48.0, 5.0, 46.0, 57.0, 26.0, -1
29.0, 39.0, 48.0, 5.0, 52.0, 4.0, 48.0, -1
74.0, 56.0, 48.0, 5.0, 47.0, 68.0, 3.0, -1
71.0, 57.0, 48.0, 5.0, 48.0, 35.0, 32.0, -1
7.0, 39.0, 1.0, 5.0, 51.0, 82.0, 84.0, 1
63.0, 69.0, 48.0, 5.0, 65.0, 41.0, 28.0, 1
73.0, 84.0, 48.0, 5.0, 86.0, 58.0, 29.0, 1
52.0, 81.0, 48.0, 5.0, 72.0, 38.0, 38.0, 1
71.0, 71.0, 48.0, 5.0, 68.0, 43.0, 36.0, 1
77.0, 57.0, 1.0, 5.0, 37.0, 54.0, 1.0, 1
