@relation yeast
@attribute mcg real [-5.211, -0.941]
@attribute gvh real [-1.274, 5.074]
@attribute alm real [-2.487, 1.431]
@attribute mit real [-1.409, 2.377]
@attribute erl real [-2.127, 1.831]
@attribute pox real [-0.836, 2.327]
@attribute vac real [-1.537, 1.403]
@attribute nuc real [-1.293, 2.039]
@attribute Class {1, -1}
@inputs mcg, gvh, alm, mit, erl, pox, vac, nuc
@outputs Class
@data
0.48, 0.45, 0.59, 0.2, 0.5, 0.0, 0.58, 0.34, -1
0.53, 0.31, 0.58, 0.39, 0.5, 0.0, 0.47, 0.37, -1
0.41, 0.46, 0.59, 0.19, 0.5, 0.0, 0.58, 0.27, -1
0.48, 0.54, 0.5, 0.17, 0.5, 0.0, 0.53, 0.22, -1
0.42, 0.51, 0.5, 0.12, 0.5, 0.0, 0.52, 0.46, -1
0.31, 0.44, 0.53, 0.23, 0.5, 0.0, 0.51, 0.32, -1
0.49, 0.31, 0.49, 0.35, 0.5, 0.0, 0.51, 0.29, -1
0.27, 0.36, 0.6, 0.33, 0.5, 0.0, 0.37, 0.31, -1
0.42, 0.32, 0.5, 0.21, 0.5, 0.0, 0.51, 0.22, -1
0.36, 0.24, 0.49, 0.16, 0.5, 0.0, 0.51, 0.22, -1
0.53, 0.61, 0.52, 0.21, 0.5, 0.0, 0.55, 0.3, -1
0.46, 0.43, 0.49, 0.79, 0.5, 0.0, 0.49, 0.63, -1
0.55, 0.46, 0.46, 0.31, 0.5, 0.0, 0.58, 0.48, -1
0.56, 0.59, 0.53, 0.16, 0.5, 0.0, 0.24, 0.42, -1
0.44, 0.44, 0.49, 0.15, 0.5, 0.0, 0.46, 0.27, -1
0.35, 0.68, 0.57, 0.4, 0.5, 0.0, 0.53, 0.36, -1
0.31, 0.31, 0.54, 0.18, 0.5, 0.0, 0.52, 0.29, -1
0.27, 0.51, 0.47, 0.35, 0.5, 0.0, 0.49, 0.28, -1
0.17, 0.38, 0.45, 0.09, 0.5, 0.0, 0.54, 0.27, -1
0.34, 0.66, 0.51, 0.16, 0.5, 0.0, 0.47, 0.33, -1
0.47, 0.49, 0.63, 0.17, 0.5, 0.0, 0.31, 0.26, -1
0.28, 0.51, 0.55, 0.11, 0.5, 0.0, 0.46, 0.22, -1
0.56, 0.57, 0.63, 0.39, 1.0, 0.0, 0.59, 0.4, -1
0.48, 0.57, 0.5, 0.09, 0.5, 0.0, 0.52, 0.42, -1
0.51, 0.48, 0.58, 0.22, 0.5, 0.0, 0.5, 0.28, -1
0.5, 0.45, 0.49, 0.15, 0.5, 0.0, 0.55, 0.43, -1
0.43, 0.39, 0.51, 0.28, 0.5, 0.0, 0.4, 0.22, -1
0.32, 0.34, 0.61, 0.17, 0.5, 0.0, 0.52, 0.32, -1
0.34, 0.31, 0.6, 0.37, 0.5, 0.0, 0.5, 0.3, -1
0.52, 0.48, 0.54, 0.28, 0.5, 0.0, 0.54, 0.22, -1
0.44, 0.41, 0.44, 0.13, 0.5, 0.0, 0.49, 0.42, -1
0.49, 0.62, 0.65, 0.18, 0.5, 0.0, 0.46, 0.43, -1
0.5, 0.49, 0.52, 0.2, 0.5, 0.0, 0.43, 0.52, -1
0.18, 0.48, 0.46, 0.12, 0.5, 0.0, 0.0, 0.25, -1
0.37, 0.31, 0.53, 0.16, 0.5, 0.0, 0.53, 0.44, -1
0.43, 0.39, 0.59, 0.13, 0.5, 0.0, 0.41, 0.43, -1
0.39, 0.35, 0.49, 0.17, 0.5, 0.0, 0.49, 0.22, -1
0.45, 0.21, 0.49, 0.24, 0.5, 0.0, 0.46, 0.31, -1
0.44, 0.34, 0.61, 0.13, 0.5, 0.0, 0.49, 0.26, -1
0.51, 0.34, 0.49, 0.16, 0.5, 0.0, 0.53, 0.21, -1
0.69, 0.62, 0.49, 0.0, 1.0, 0.0, 0.47, 0.22, -1
0.33, 0.38, 0.45, 0.19, 0.5, 0.0, 0.54, 0.37, -1
0.48, 0.46, 0.58, 0.26, 0.5, 0.0, 0.44, 0.22, -1
0.38, 0.48, 0.51, 0.13, 0.5, 0.0, 0.5, 0.32, -1
0.37, 0.48, 0.5, 0.26, 0.5, 0.0, 0.52, 0.39, -1
0.3, 0.3, 0.46, 0.32, 0.5, 0.0, 0.45, 0.22, -1
0.62, 0.41, 0.52, 0.17, 0.5, 0.0, 0.48, 0.22, -1
0.32, 0.48, 0.49, 0.17, 0.5, 0.0, 0.47, 0.22, -1
0.33, 0.21, 0.53, 0.15, 1.0, 0.0, 0.52, 0.5, -1
0.4, 0.28, 0.48, 0.06, 0.5, 0.0, 0.49, 0.42, -1
0.51, 0.39, 0.56, 0.25, 0.5, 0.0, 0.51, 0.33, -1
0.52, 0.5, 0.51, 0.2, 0.5, 0.0, 0.51, 0.22, -1
0.33, 0.28, 0.52, 0.15, 0.5, 0.0, 0.51, 0.86, -1
0.36, 0.48, 0.5, 0.13, 0.5, 0.0, 0.49, 0.6, -1
0.31, 0.39, 0.55, 0.28, 0.5, 0.0, 0.46, 0.31, -1
0.42, 0.21, 0.59, 0.3, 0.5, 0.0, 0.47, 0.27, -1
0.35, 0.4, 0.44, 0.25, 0.5, 0.0, 0.53, 0.57, -1
0.56, 0.51, 0.32, 0.49, 0.5, 0.0, 0.48, 0.22, -1
0.5, 0.36, 0.64, 0.37, 0.5, 0.0, 0.37, 0.33, -1
0.35, 0.41, 0.53, 0.27, 0.5, 0.0, 0.47, 0.29, -1
0.48, 0.45, 0.63, 0.19, 0.5, 0.0, 0.58, 0.22, -1
0.54, 0.57, 0.55, 0.18, 0.5, 0.0, 0.5, 0.22, -1
0.57, 0.42, 0.63, 0.22, 0.5, 0.0, 0.68, 0.32, -1
0.44, 0.62, 0.53, 0.27, 0.5, 0.0, 0.49, 0.22, -1
0.4, 0.49, 0.53, 0.23, 0.5, 0.0, 0.44, 0.26, -1
0.47, 0.56, 0.51, 0.2, 0.5, 0.0, 0.52, 0.59, -1
0.4, 0.75, 0.44, 0.12, 0.5, 0.0, 0.49, 0.22, -1
0.33, 0.46, 0.6, 0.18, 0.5, 0.0, 0.51, 0.26, -1
0.51, 0.5, 0.54, 0.11, 0.5, 0.0, 0.6, 0.22, -1
0.23, 0.13, 0.51, 0.16, 0.5, 0.0, 0.53, 0.51, -1
0.44, 0.39, 0.63, 0.11, 0.5, 0.0, 0.49, 0.26, -1
0.58, 0.64, 0.42, 0.3, 0.5, 0.0, 0.54, 0.22, -1
0.58, 0.37, 0.58, 0.16, 0.5, 0.0, 0.51, 0.22, -1
0.47, 0.47, 0.5, 0.19, 0.5, 0.0, 0.51, 0.26, -1
0.41, 0.39, 0.61, 0.17, 0.5, 0.0, 0.5, 0.61, -1
0.58, 0.51, 0.63, 0.2, 0.5, 0.0, 0.5, 0.42, -1
0.63, 0.58, 0.57, 0.1, 0.5, 0.0, 0.52, 0.33, -1
0.54, 0.67, 0.56, 0.15, 0.5, 0.0, 0.57, 0.33, -1
0.47, 0.38, 0.5, 0.15, 0.5, 0.0, 0.49, 0.47, -1
0.53, 0.44, 0.54, 0.52, 0.5, 0.0, 0.49, 0.38, -1
0.55, 0.49, 0.6, 0.18, 0.5, 0.0, 0.51, 0.22, -1
0.29, 0.39, 0.46, 0.36, 0.5, 0.0, 0.51, 0.22, -1
0.54, 0.54, 0.56, 0.18, 0.5, 0.0, 0.46, 0.29, -1
0.33, 0.38, 0.47, 0.14, 0.5, 0.0, 0.51, 0.47, -1
0.38, 0.44, 0.57, 0.14, 0.5, 0.0, 0.53, 0.52, -1
0.51, 0.34, 0.5, 0.19, 0.5, 0.0, 0.5, 0.22, -1
0.4, 0.34, 0.52, 0.17, 0.5, 0.0, 0.47, 0.51, -1
0.37, 0.22, 0.64, 0.35, 0.5, 0.0, 0.47, 0.22, -1
0.44, 0.53, 0.52, 0.37, 0.5, 0.0, 0.5, 0.22, -1
0.5, 0.43, 0.5, 0.17, 0.5, 0.0, 0.46, 0.47, -1
0.19, 0.66, 0.6, 0.14, 0.5, 0.0, 0.2, 0.25, -1
0.45, 0.36, 0.5, 0.19, 0.5, 0.0, 0.53, 0.7, -1
0.41, 0.47, 0.5, 0.14, 0.5, 0.0, 0.53, 0.37, -1
0.73, 0.63, 0.42, 0.3, 0.5, 0.0, 0.49, 0.22, -1
0.54, 0.48, 0.44, 0.08, 0.5, 0.0, 0.52, 0.27, -1
0.6, 0.47, 0.45, 0.22, 0.5, 0.0, 0.51, 0.29, -1
0.3, 0.56, 0.55, 0.18, 0.5, 0.0, 0.5, 0.22, -1
0.29, 0.32, 0.58, 0.15, 0.5, 0.0, 0.5, 0.3, -1
0.4, 0.42, 0.71, 0.21, 0.5, 0.0, 0.54, 0.32, -1
0.54, 0.49, 0.49, 0.2, 0.5, 0.0, 0.52, 0.22, -1
0.54, 0.38, 0.52, 0.18, 0.5, 0.0, 0.48, 0.22, -1
0.32, 0.42, 0.52, 0.24, 0.5, 0.0, 0.6, 0.22, -1
0.59, 0.5, 0.52, 0.28, 0.5, 0.0, 0.55, 0.25, -1
0.35, 0.66, 0.49, 0.21, 0.5, 0.0, 0.54, 0.25, -1
0.52, 0.4, 0.6, 0.12, 0.5, 0.0, 0.55, 0.22, -1
0.56, 0.41, 0.58, 0.21, 0.5, 0.0, 0.42, 0.22, -1
0.38, 0.48, 0.59, 0.22, 0.5, 0.0, 0.46, 0.22, -1
0.55, 0.46, 0.53, 0.11, 0.5, 0.0, 0.52, 0.48, -1
0.54, 0.65, 0.49, 0.34, 0.5, 0.0, 0.52, 0.22, -1
0.25, 0.4, 0.51, 0.18, 0.5, 0.0, 0.5, 0.27, -1
0.5, 0.5, 0.48, 0.17, 0.5, 0.0, 0.47, 0.26, -1
0.42, 0.39, 0.47, 0.13, 0.5, 0.0, 0.5, 0.27, -1
0.59, 0.65, 0.52, 0.3, 0.5, 0.0, 0.46, 0.31, -1
0.37, 0.33, 0.5, 0.12, 0.5, 0.0, 0.51, 0.54, -1
0.6, 0.4, 0.59, 0.18, 0.5, 0.0, 0.48, 0.22, -1
0.49, 0.43, 0.48, 0.15, 0.5, 0.0, 0.55, 0.25, -1
